store,island,machine,machine_no
ひまわりタワー,ネオアイム島⑤,ネオアイムジャグラーEX,1077
ひまわりタワー,ネオアイム島⑤,ネオアイムジャグラーEX,1078
ひまわりタワー,ミスタ島,ミスタージャグラー,1089
ひまわりタワー,ミスタ島,ミスタージャグラー,1090
ひまわりタワー,ミスタ島,ミスタージャグラー,1091
ひまわりタワー,ミスタ島,ミスタージャグラー,1092
ひまわりタワー,ミスタ島,ミスタージャグラー,1093
ひまわりタワー,ミスタ島,ミスタージャグラー,1094
ひまわりタワー,ミスタ島,ミスタージャグラー,1095
ひまわりタワー,ミスタ島,ミスタージャグラー,1096
ひまわりタワー,ミスタ島,ミスタージャグラー,1097
ひまわりタワー,ミスタ島,ミスタージャグラー,1098
ひまわりタワー,ハッピ島,ハッピージャグラーVⅢ,1099
ひまわりタワー,ハッピ島,ハッピージャグラーVⅢ,1100
ひまわりタワー,ハッピ島,ハッピージャグラーVⅢ,1101
ひまわりタワー,ハッピ島,ハッピージャグラーVⅢ,1102
ひまわりタワー,ハッピ島,ハッピージャグラーVⅢ,1103
ひまわりタワー,ハッピ島,ハッピージャグラーVⅢ,1104
ひまわりタワー,ハッピ島,ハッピージャグラーVⅢ,1105
ひまわりタワー,ハッピ島,ハッピージャグラーVⅢ,1106
